0	000755	46926.460938	17	8	20190923	19970627	46926.460938	150301.000000	-140867.015625	1045343.687500	0.000000	0.000000	0.000000	8796109.000000	721739.000000	7733.000000	8037987.500000	40517.000000	2310488.000000	0.000000	1294523.500000	1146385.250000	442151.093750	165812.687500	69926.804688	102148.296875	0.000000	266449.312500	-259644.812500	538.400024	94822.304688	80906.804688	80906.804688	-777915.000000	0.000000	6.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
0	139835	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
0	105496	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	751099	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	158846	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	140358	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
1	140174	0.000000	0	0	0	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	12.000000
市场	证券代码	流通股本	所属省份	所属行业	财务更新日期	上市日期	总股本	国家股	发起人法人股	法人股	B股	H股	职工股	总资产	流动资产	固定资产	无形资产	股东人数	流动负债	长期负债	资本公积金	净资产	主营收入	主营利润	应收帐款	营业利润	投资收益	经营现金流	总现金流	存货	利润总额	税后利润	净利润	未分利润	保留	保留
