市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
0	000890	20070403	5	28639.119141	37964.160156	31071.429688	37964.160156
0	000890	20070630	5	31071.431641	37964.160156	31078.712891	37964.160156
0	000890	20071231	5	31078.712891	37964.160156	31092.175781	37964.160156
0	000890	20080528	5	31092.175781	37964.160156	33075.414063	37964.160156
0	000890	20080630	5	33075.414063	37964.160156	33073.917969	37964.160156
0	000890	20081231	5	33073.917969	37964.160156	33080.453125	37964.160156
0	000890	20090427	3	33080.453125	37964.160156	37943.925781	37964.160156
0	000890	20090630	5	37943.925781	37964.160156	37951.550781	37964.160156
0	000890	20100630	5	37951.550781	37964.160156	37950.957031	37964.160156
0	000890	20101231	5	37950.957031	37964.160156	37954.355469	37964.160156
0	000890	20110630	5	37954.355469	37964.160156	37953.175781	37964.160156
0	000890	20111231	5	37953.175781	37964.160156	37954.140625	37964.160156
0	000890	20120630	5	37954.140625	37964.160156	37954.328125	37964.160156
0	000890	20121024	1	0.200000	0.000000	0.000000	0.000000
0	000890	20130718	1	0.200000	0.000000	0.000000	0.000000
0	000890	20140612	1	0.200000	0.000000	0.000000	0.000000
0	000890	20140630	5	37954.328125	37964.160156	37953.878906	37964.160156
0	000890	20141231	5	37953.878906	37964.160156	37955.679688	37964.160156
0	000890	20151231	5	37955.679688	37964.160156	37956.570313	37964.160156
0	000890	20160615	1	0.100000	0.000000	0.000000	0.000000
0	000890	20160630	5	37956.570313	37964.160156	37955.589844	37964.160156
0	000890	20161231	5	37955.589844	37964.160156	37962.386719	37964.160156
0	000890	20170607	1	1.000000	0.000000	0.000000	0.000000
0	000890	20181231	5	37962.386719	37964.160156	37962.324219	37964.160156
0	000890	20190630	5	37962.324219	37964.160156	37962.460938	37964.160156
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
市场	证券代码	日期	权息数据类别	前流通盘或派息金额	前总股本或配股价	后流通盘或送股数	后总股本或配售数
